"Hours","whyplay","Gender","Age","Work","Degree","GAD_T","SWL_T","SPIN_T","Anxiety_Type"
18,206,2,18,3,3,0,17,1,"No_Anxiety"
20,206,2,18,4,2,6,27,23,"SAD"
30,206,2,25,2,5,0,17,7,"No_Anxiety"
10,206,2,20,2,1,7,18,20,"SAD"
5,206,2,19,2,2,0,23,27,"SAD"
15,206,2,18,3,2,5,22,23,"SAD"
16,154,2,27,1,2,4,28,8,"No_Anxiety"
30,206,2,26,1,2,2,20,23,"SAD"
5,154,2,18,3,3,4,23,7,"No_Anxiety"
7,154,2,23,1,5,2,25,8,"No_Anxiety"
14,154,2,19,2,2,6,19,31,"SAD"
50,206,2,22,2,2,1,15,17,"No_Anxiety"
30,206,2,18,2,2,2,24,1,"No_Anxiety"
20,206,2,18,4,2,14,10,18,"GAD"
15,309,2,24,1,2,7,19,40,"SAD"
25,349,2,20,1,3,1,17,31,"SAD"
10,206,2,30,1,1,21,35,5,"GAD"
2,206,2,18,2,2,7,16,30,"SAD"
30,206,2,20,3,2,1,20,21,"SAD"
20,309,2,18,3,5,1,24,30,"SAD"
20,206,2,29,1,5,4,20,18,"No_Anxiety"
30,206,2,20,4,2,4,14,35,"SAD"
35,154,2,23,1,1,8,19,24,"SAD"
24,349,1,25,3,2,4,11,23,"SAD"
20,206,2,23,3,4,1,34,0,"No_Anxiety"
25,206,2,20,2,2,1,17,3,"No_Anxiety"
50,290,1,21,4,2,15,5,50,"Mixed_Anxiety"
14,206,2,18,3,3,1,15,22,"SAD"
12,154,2,18,3,3,5,26,9,"No_Anxiety"
20,154,1,29,1,5,9,23,37,"SAD"
16,154,2,24,1,1,2,29,12,"No_Anxiety"
20,206,2,20,2,5,3,16,15,"No_Anxiety"
16,206,2,23,1,5,6,34,25,"SAD"
20,206,2,25,2,1,6,23,18,"No_Anxiety"
28,206,2,19,3,2,3,18,10,"No_Anxiety"
10,154,2,30,1,1,6,24,8,"No_Anxiety"
20,154,2,20,3,2,2,29,7,"No_Anxiety"
15,154,2,20,2,2,9,15,32,"SAD"
25,154,2,18,4,2,4,21,32,"SAD"
35,154,2,20,2,2,3,25,17,"No_Anxiety"
27,154,2,22,2,2,1,23,5,"No_Anxiety"
15,154,2,22,2,1,2,24,17,"No_Anxiety"
15,309,2,18,3,3,10,24,24,"Mixed_Anxiety"
4,206,2,23,2,5,0,14,17,"No_Anxiety"
35,206,2,18,3,3,2,23,15,"No_Anxiety"
10,206,2,28,1,5,1,29,9,"No_Anxiety"
10,206,1,26,1,5,3,23,20,"SAD"
35,154,2,21,4,2,8,10,1,"No_Anxiety"
5,154,2,18,2,2,2,31,5,"No_Anxiety"
6,154,2,21,4,2,3,27,7,"No_Anxiety"
10,349,2,19,2,2,5,23,17,"No_Anxiety"
6,154,2,23,1,5,0,30,8,"No_Anxiety"
35,206,2,19,2,2,1,30,0,"No_Anxiety"
28,154,2,22,2,2,5,8,12,"No_Anxiety"
15,154,1,19,2,2,2,11,39,"SAD"
35,206,2,25,1,1,1,18,19,"SAD"
40,349,2,29,4,5,3,10,2,"No_Anxiety"
25,154,2,19,2,2,3,12,48,"SAD"
30,154,2,25,2,5,5,7,11,"No_Anxiety"
20,206,2,19,2,2,7,11,34,"SAD"
16,349,2,21,2,5,2,14,11,"No_Anxiety"
9,154,2,22,1,5,3,22,17,"No_Anxiety"
21,206,2,21,4,2,4,9,39,"SAD"
40,206,2,19,2,2,13,12,52,"Mixed_Anxiety"
15,206,2,25,2,5,2,8,25,"SAD"
5,154,1,18,3,3,5,24,19,"SAD"
15,206,2,24,1,5,2,34,17,"No_Anxiety"
21,154,2,24,1,5,0,5,0,"No_Anxiety"
30,206,2,20,1,2,8,25,17,"No_Anxiety"
3,349,2,23,1,2,3,25,23,"SAD"
6,309,2,19,2,5,8,17,59,"SAD"
20,154,2,20,2,2,3,30,16,"No_Anxiety"
20,349,2,18,2,2,5,17,43,"SAD"
40,309,1,24,2,1,6,18,18,"No_Anxiety"
18,154,2,22,2,5,5,15,29,"SAD"
35,156,2,19,2,2,0,17,5,"No_Anxiety"
15,206,2,25,2,5,4,20,0,"No_Anxiety"
20,154,2,18,2,2,4,31,6,"No_Anxiety"
20,309,2,26,2,2,13,16,42,"Mixed_Anxiety"
18,206,2,23,1,2,0,13,0,"No_Anxiety"
15,349,2,20,2,2,2,14,15,"No_Anxiety"
20,349,2,18,4,2,2,21,11,"No_Anxiety"
7,154,2,19,2,2,0,28,8,"No_Anxiety"
15,154,2,31,1,5,0,15,7,"No_Anxiety"
20,206,2,18,3,2,16,13,17,"GAD"
28,349,2,20,2,2,2,14,2,"No_Anxiety"
2,349,2,25,2,2,17,10,48,"Mixed_Anxiety"
20,154,2,18,2,2,6,25,9,"No_Anxiety"
30,138,2,21,2,2,16,10,47,"Mixed_Anxiety"
45,349,1,19,2,2,13,17,34,"Mixed_Anxiety"
45,206,2,18,3,3,12,7,26,"Mixed_Anxiety"
40,349,2,21,2,5,21,17,41,"Mixed_Anxiety"
14,154,2,23,2,2,0,28,15,"No_Anxiety"
7,206,2,19,2,2,14,5,42,"Mixed_Anxiety"
30,206,2,22,2,5,18,23,43,"Mixed_Anxiety"
10,206,1,22,2,2,4,27,40,"SAD"
20,206,2,20,2,2,3,28,3,"No_Anxiety"
24,154,2,19,2,2,5,26,32,"SAD"
20,309,2,22,2,5,20,13,57,"Mixed_Anxiety"
25,349,2,18,3,3,7,17,22,"SAD"
20,154,2,18,3,3,0,29,17,"No_Anxiety"
20,154,2,32,1,3,0,17,17,"No_Anxiety"
28,206,2,21,4,2,1,15,35,"SAD"
15,206,2,18,3,2,8,11,12,"No_Anxiety"
10,154,2,21,2,2,0,20,63,"SAD"
50,154,2,20,2,2,0,18,10,"No_Anxiety"
14,206,2,19,2,2,1,23,22,"SAD"
20,154,2,18,3,3,6,32,31,"SAD"
10,154,2,24,2,5,0,33,17,"No_Anxiety"
20,154,2,20,2,2,2,23,20,"SAD"
10,154,1,18,3,2,18,33,60,"Mixed_Anxiety"
7,206,2,20,2,2,5,16,26,"SAD"
40,309,2,19,4,2,0,9,20,"SAD"
25,154,2,20,2,1,2,30,15,"No_Anxiety"
35,309,2,18,3,2,16,21,32,"Mixed_Anxiety"
15,154,2,20,2,2,9,15,32,"SAD"
8,349,2,18,2,2,8,21,10,"No_Anxiety"
14,206,2,18,4,2,0,11,12,"No_Anxiety"
10,154,2,23,2,2,0,28,4,"No_Anxiety"
20,206,2,23,2,5,8,18,33,"SAD"
4,154,2,29,1,1,8,16,24,"SAD"
13,206,2,19,2,2,2,20,33,"SAD"
20,349,2,18,3,2,4,31,8,"No_Anxiety"
48,206,2,19,2,2,9,21,49,"SAD"
10,154,2,23,3,2,12,10,53,"Mixed_Anxiety"
30,206,2,19,2,2,13,27,37,"Mixed_Anxiety"
15,154,2,22,2,2,0,26,20,"SAD"
22,50,2,23,1,5,0,22,11,"No_Anxiety"
20,349,2,28,1,1,4,25,4,"No_Anxiety"
10,206,2,18,4,2,4,16,32,"SAD"
25,349,2,24,1,1,3,22,14,"No_Anxiety"
14,206,2,24,4,2,8,17,21,"SAD"
10,154,2,19,2,2,0,29,33,"SAD"
15,154,2,18,3,2,3,9,4,"No_Anxiety"
49,206,2,18,2,2,1,21,11,"No_Anxiety"
30,206,2,19,2,2,0,16,4,"No_Anxiety"
14,349,2,24,1,1,5,16,17,"No_Anxiety"
45,154,2,18,2,2,2,22,45,"SAD"
42,349,2,18,3,3,4,31,8,"No_Anxiety"
12,154,2,30,1,1,0,30,9,"No_Anxiety"
25,206,2,20,2,2,2,21,13,"No_Anxiety"
20,206,2,25,4,5,2,13,21,"SAD"
30,349,2,18,2,2,3,30,17,"No_Anxiety"
10,154,2,23,1,5,7,22,18,"No_Anxiety"
30,206,2,28,1,5,11,13,20,"Mixed_Anxiety"
12,154,2,21,2,2,2,21,4,"No_Anxiety"
16,154,2,18,3,3,2,17,21,"SAD"
48,206,2,19,2,2,7,21,20,"SAD"
25,154,2,22,2,2,4,10,43,"SAD"
6,154,2,18,2,2,1,30,15,"No_Anxiety"
35,154,2,25,4,2,9,16,18,"No_Anxiety"
30,349,2,23,2,5,5,25,23,"SAD"
30,206,1,23,2,1,13,12,67,"Mixed_Anxiety"
22,154,2,28,1,5,8,13,14,"No_Anxiety"
21,154,2,20,2,2,0,17,7,"No_Anxiety"
20,206,2,21,2,5,2,30,20,"SAD"
3,154,2,35,1,1,2,17,15,"No_Anxiety"
10,154,2,18,3,3,10,7,23,"Mixed_Anxiety"
50,154,2,63,4,3,10,24,17,"GAD"
5,206,2,24,2,1,5,30,3,"No_Anxiety"
14,154,2,35,1,1,2,32,4,"No_Anxiety"
14,309,2,21,2,2,1,19,12,"No_Anxiety"
40,206,2,26,4,5,7,17,11,"No_Anxiety"
5,154,2,26,2,5,6,14,10,"No_Anxiety"
15,154,2,23,2,5,9,21,31,"SAD"
20,154,2,19,1,3,16,11,45,"Mixed_Anxiety"
21,154,2,20,2,2,0,14,4,"No_Anxiety"
40,206,3,23,1,5,1,27,22,"SAD"
40,309,2,26,2,5,14,12,17,"GAD"
4,154,2,19,2,2,7,28,17,"No_Anxiety"
10,349,2,23,2,5,4,20,10,"No_Anxiety"
15,71,2,18,3,2,2,27,7,"No_Anxiety"
12,154,2,29,1,5,1,28,9,"No_Anxiety"
20,309,2,18,3,3,4,22,11,"No_Anxiety"
21,309,2,29,2,5,14,19,9,"GAD"
12,154,2,19,2,2,4,25,0,"No_Anxiety"
30,154,2,19,2,2,8,28,13,"No_Anxiety"
25,206,1,22,2,5,16,23,47,"Mixed_Anxiety"
40,146,2,20,2,2,0,21,0,"No_Anxiety"
30,154,2,27,1,5,2,28,17,"No_Anxiety"
20,154,2,18,2,2,5,23,32,"SAD"
30,154,2,23,1,5,4,25,0,"No_Anxiety"
15,154,1,19,2,2,1,16,22,"SAD"
15,154,2,21,2,2,3,20,17,"No_Anxiety"
25,309,2,23,2,3,7,11,13,"No_Anxiety"
40,206,2,23,2,2,3,6,16,"No_Anxiety"
14,154,2,20,2,2,5,24,11,"No_Anxiety"
12,206,2,24,4,2,15,16,39,"Mixed_Anxiety"
30,349,2,23,1,2,14,31,3,"GAD"
2,309,2,22,2,5,2,30,13,"No_Anxiety"
21,154,2,21,2,2,8,15,11,"No_Anxiety"
18,154,2,20,2,2,0,31,5,"No_Anxiety"
12,309,2,30,1,2,15,16,21,"Mixed_Anxiety"
15,154,2,22,2,2,1,25,6,"No_Anxiety"
35,150,2,18,2,5,2,26,10,"No_Anxiety"
20,154,2,18,3,2,2,22,8,"No_Anxiety"
20,154,2,30,1,1,6,33,18,"No_Anxiety"
10,206,2,18,3,3,7,29,4,"No_Anxiety"
15,206,2,21,2,2,9,13,9,"No_Anxiety"
20,154,2,21,2,2,5,20,5,"No_Anxiety"
4,349,2,28,1,1,12,15,20,"Mixed_Anxiety"
40,154,2,19,4,2,4,18,27,"SAD"
25,206,2,18,2,2,8,16,36,"SAD"
20,154,2,21,2,5,1,29,9,"No_Anxiety"
20,349,2,20,3,2,5,19,14,"No_Anxiety"
20,154,2,24,4,2,4,18,30,"SAD"
50,349,2,20,2,2,1,14,8,"No_Anxiety"
20,156,2,19,2,2,6,21,12,"No_Anxiety"
50,206,2,20,3,5,3,14,17,"No_Anxiety"
25,154,2,18,3,3,3,30,9,"No_Anxiety"
6,154,2,27,1,5,0,29,7,"No_Anxiety"
15,154,2,23,1,2,3,18,13,"No_Anxiety"
5,154,2,21,4,2,3,15,48,"SAD"
10,154,2,19,2,2,4,24,11,"No_Anxiety"
25,154,2,24,2,2,6,10,28,"SAD"
28,309,2,19,3,2,11,18,35,"Mixed_Anxiety"
10,349,2,19,3,2,2,14,14,"No_Anxiety"
4,154,2,20,2,2,14,8,22,"Mixed_Anxiety"
16,349,2,20,2,2,5,12,46,"SAD"
20,206,2,18,2,2,7,16,7,"No_Anxiety"
3,154,2,21,2,5,4,27,14,"No_Anxiety"
2,154,2,38,1,1,1,32,7,"No_Anxiety"
50,206,2,18,3,2,3,29,19,"SAD"
24,154,2,20,2,2,6,20,6,"No_Anxiety"
20,309,2,20,2,2,0,23,13,"No_Anxiety"
8,154,2,23,1,5,2,28,6,"No_Anxiety"
48,206,2,23,4,2,16,12,45,"Mixed_Anxiety"
16,349,2,23,2,2,3,25,29,"SAD"
2,309,2,20,2,2,13,21,17,"GAD"
15,206,2,27,1,1,6,20,12,"No_Anxiety"
25,206,2,21,4,2,5,17,31,"SAD"
10,353,2,27,1,5,3,28,17,"No_Anxiety"
15,154,2,30,1,5,8,23,21,"SAD"
14,206,2,25,2,2,5,17,15,"No_Anxiety"
5,206,2,21,2,5,2,27,37,"SAD"
12,309,2,18,3,3,19,17,17,"GAD"
30,206,2,26,1,2,8,5,26,"SAD"
4,309,2,21,2,5,4,13,28,"SAD"
55,206,2,19,4,2,5,12,50,"SAD"
30,154,2,18,2,2,5,19,13,"No_Anxiety"
5,206,2,18,3,2,2,22,12,"No_Anxiety"
15,154,2,37,1,5,1,29,7,"No_Anxiety"
40,206,2,18,3,2,1,26,12,"No_Anxiety"
40,206,2,24,1,2,0,17,18,"No_Anxiety"
24,344,2,18,2,2,10,19,24,"Mixed_Anxiety"
42,349,2,18,3,3,10,19,34,"Mixed_Anxiety"
28,349,2,20,2,3,3,10,23,"SAD"
8,206,2,18,4,2,2,20,1,"No_Anxiety"
16,206,2,19,2,2,1,21,48,"SAD"
30,328,2,21,2,5,16,9,16,"GAD"
29,154,2,18,2,2,2,29,6,"No_Anxiety"
2,349,2,18,2,2,0,15,28,"SAD"
16,349,2,19,2,2,13,14,54,"Mixed_Anxiety"
12,309,2,22,1,5,3,27,9,"No_Anxiety"
15,154,1,29,1,2,7,27,19,"SAD"
12,154,2,19,3,2,2,18,24,"SAD"
10,154,2,30,1,5,0,26,17,"No_Anxiety"
25,349,2,23,1,2,4,29,0,"No_Anxiety"
20,206,2,22,2,5,0,18,10,"No_Anxiety"
21,154,2,23,4,2,6,18,50,"SAD"
25,154,2,18,2,2,6,19,16,"No_Anxiety"
25,154,2,20,2,2,1,28,29,"SAD"
10,206,2,21,2,2,14,30,5,"GAD"
70,136,2,23,4,3,21,5,68,"Mixed_Anxiety"
12,206,2,20,2,2,8,10,31,"SAD"
10,154,2,30,1,5,0,26,17,"No_Anxiety"
15,206,2,24,2,5,11,17,12,"GAD"
35,154,2,19,2,2,0,35,64,"SAD"
30,206,2,19,3,3,7,11,36,"SAD"
25,206,2,25,2,2,3,18,12,"No_Anxiety"
10,154,2,21,2,5,3,29,23,"SAD"
15,154,2,21,2,2,8,15,17,"No_Anxiety"
20,154,2,20,1,2,3,29,18,"No_Anxiety"
65,162,2,18,3,3,2,28,5,"No_Anxiety"
5,349,2,18,3,2,5,20,24,"SAD"
10,309,2,18,3,3,16,21,33,"Mixed_Anxiety"
15,154,2,24,4,5,1,17,17,"No_Anxiety"
16,154,2,19,2,2,3,17,11,"No_Anxiety"
25,206,2,20,2,2,16,15,23,"Mixed_Anxiety"
10,206,2,18,2,2,0,17,17,"No_Anxiety"
2,154,2,19,2,5,13,11,31,"Mixed_Anxiety"
24,154,2,22,2,2,4,17,11,"No_Anxiety"
12,154,2,25,4,2,0,13,26,"SAD"
12,154,2,20,2,2,3,19,13,"No_Anxiety"
20,206,2,24,2,2,2,28,19,"SAD"
15,154,2,18,3,3,0,30,2,"No_Anxiety"
4,154,1,19,2,2,0,7,43,"SAD"
20,349,2,19,2,2,10,22,12,"GAD"
30,154,2,21,4,5,12,23,23,"Mixed_Anxiety"
28,349,2,18,3,3,5,8,34,"SAD"
60,219,2,20,2,3,10,31,17,"GAD"
20,154,2,21,2,2,14,18,19,"Mixed_Anxiety"
20,154,2,22,2,5,4,16,13,"No_Anxiety"
30,206,2,21,1,2,2,19,7,"No_Anxiety"
5,206,2,19,4,2,6,10,15,"No_Anxiety"
20,154,2,19,3,3,3,8,15,"No_Anxiety"
10,349,2,19,3,2,3,15,34,"SAD"
20,206,2,23,2,2,3,23,19,"SAD"
50,349,2,19,3,2,0,32,12,"No_Anxiety"
30,206,2,21,1,5,5,22,16,"No_Anxiety"
30,206,2,18,3,3,1,30,40,"SAD"
30,232,2,20,2,2,5,20,20,"SAD"
35,206,2,24,1,2,19,25,29,"Mixed_Anxiety"
5,349,2,18,2,2,5,25,13,"No_Anxiety"
20,206,2,25,1,1,4,21,18,"No_Anxiety"
10,154,2,19,3,2,1,24,4,"No_Anxiety"
10,154,2,21,4,5,0,23,20,"SAD"
40,206,2,19,4,5,21,8,46,"Mixed_Anxiety"
50,206,2,18,3,2,13,30,17,"GAD"
21,349,2,19,1,2,14,15,4,"GAD"
40,43,2,22,2,2,1,30,8,"No_Anxiety"
30,154,2,22,1,2,1,9,4,"No_Anxiety"
10,349,2,18,3,3,10,23,1,"GAD"
40,206,2,19,2,2,2,21,6,"No_Anxiety"
10,154,2,26,2,5,6,12,30,"SAD"
30,154,2,21,2,2,1,15,16,"No_Anxiety"
8,154,2,34,1,1,0,30,16,"No_Anxiety"
12,349,2,18,2,2,12,17,9,"GAD"
10,206,2,18,2,2,3,20,22,"SAD"
5,154,2,21,2,2,4,16,27,"SAD"
25,206,2,19,2,2,1,25,6,"No_Anxiety"
3,206,2,20,2,2,4,23,6,"No_Anxiety"
